name,lat,lng,title,imageURL
石川県金沢市,36.5061,136.6871,数分間のエールを,https://animetourism88.com/wp-content/uploads/2025/02/%E3%80%90%E6%95%B0%E5%88%86%E9%96%93%E3%81%AE%E3%82%A8%E3%83%BC%E3%83%AB%E3%82%92%E3%80%91KV.jpg
石川県金沢市（湯涌温泉）,36.4879,136.7561,花咲くいろは,https://animetourism88.com/wp-content/uploads/2023/09/2ceb80a9495624c2e4af9b756bbac35c.jpg
石川県羽咋市,36.9161,136.8174,数分間のエールを,https://animetourism88.com/wp-content/uploads/2025/02/%E7%BE%BD%E5%92%8B%E5%B8%82%EF%BC%88%E5%A0%B4%E9%9D%A2%E5%86%99%EF%BC%89.png
山梨県山梨市,35.7851,138.7033,『ゆるキャン△』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/YRC_0052_T5_.jpg
山梨県北杜市,35.8407,138.4034,スーパーカブ,https://animetourism88.com/wp-content/uploads/2023/12/6353233dd30b6449e061f11619d1c356-1.jpg
山梨県身延町,35.4073,138.4689,『ゆるキャン△』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/YRC_08_144_BDR-01.jpg
長野県上田市,36.3859,138.2415,サマーウォーズ,https://animetourism88.com/wp-content/uploads/2023/09/SummerWars_main.jpg
岐阜県岐阜市,35.4472,136.7822,小市民シリーズ,https://animetourism88.com/wp-content/uploads/2025/02/%E5%B0%8F%E5%B8%82%E6%B0%91%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA_KV-scaled.jpg
岐阜県高山市,36.1452,137.2034,氷菓,https://animetourism88.com/wp-content/uploads/2023/12/Hyoka_main.jpg
岐阜県多治見市,35.3367,137.1158,『やくならマグカップも』シリーズ,https://animetourism88.com/wp-content/uploads/2023/12/fix__re.jpg
岐阜県白川村,36.2296,136.8701,ひぐらしのなく頃に 業・卒,https://animetourism88.com/wp-content/uploads/2023/12/RGB__re.jpg
静岡県伊豆市,34.9213,138.9099,化け猫あんずちゃん,https://animetourism88.com/wp-content/uploads/2025/02/%E5%8C%96%E3%81%91%E7%8C%AB%E3%81%82%E3%82%93%E3%81%9A%E3%81%A1%E3%82%83%E3%82%93KV-scaled.jpg
静岡県浜松市,34.9758,137.7728,『エヴァンゲリオン』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/eva_sub.jpg
静岡県浜松市,34.9758,137.7728,『ゆるキャン△』シリーズ,https://animetourism88.com/wp-content/uploads/2023/12/yurucamp_animation_main_logo_ex_RGB_ol-01.png
静岡県沼津市,35.0788,138.8382,ラブライブ！サンシャイン!!,https://animetourism88.com/wp-content/uploads/2025/02/LLS02_086_t1_F080_0080s.jpg
静岡県川根本町,35.1598,138.1191,『ゆるキャン△』シリーズ,https://animetourism88.com/wp-content/uploads/2025/02/%E3%82%86%E3%82%8B%E3%82%AD%E3%83%A3%E3%83%B33%E6%9C%9FKV_%E6%9A%AB%E5%AE%9A.jpg
愛知県名古屋市,35.1471,136.9263,シキザクラ,https://animetourism88.com/wp-content/uploads/2023/12/Web_KV.jpg
愛知県名古屋市,35.1471,136.9263,『ゆるキャン△』シリーズ,https://animetourism88.com/wp-content/uploads/2023/12/YRC_movie.jpg
愛知県豊田市,35.1408,137.3108,シキザクラ,https://animetourism88.com/wp-content/uploads/2023/12/Shikizakura_sceanTOYOTA.jpeg
愛知県豊橋市,34.7544,137.4038,負けヒロインが多すぎる！,https://animetourism88.com/wp-content/uploads/2025/03/%E3%83%9E%E3%82%B1%E3%82%A4%E3%83%B3_%E5%8D%94%E4%BC%9A%E7%94%A8KV_c.jpg
三重県熊野市,33.9109,136.0424,凪のあすから,https://animetourism88.com/wp-content/uploads/2023/09/NaginAsukara_main.jpg
京都府京都市,35.0981,135.7188,薄桜鬼 真改,https://animetourism88.com/wp-content/uploads/2023/12/HakuokiShinkai_Kyoto.jpg
京都府舞鶴市,35.5472,135.3229,艦隊これくしょん －艦これ－,https://animetourism88.com/wp-content/uploads/2023/09/Kancolle_main-1.jpg
京都府京田辺市,34.8029,135.7606,一休さん,https://animetourism88.com/wp-content/uploads/2023/09/Ikkyusan_main.jpg
兵庫県西宮市,34.7751,135.3069,『涼宮ハルヒの憂鬱』シリーズ,https://animetourism88.com/wp-content/uploads/2023/12/ea33dcf06dd4491f3c1ac95486a4396d_re.jpg
鳥取県倉吉市,35.3947,133.7316,ひなビタ♪,https://animetourism88.com/wp-content/uploads/2023/09/Hinabita_main.jpg
鳥取県境港市,35.5143,133.235,ゲゲゲの鬼太郎,https://animetourism88.com/wp-content/uploads/2023/09/fix_Re.jpg
岡山県岡山市,34.7336,133.9312,推しが武道館いってくれたら死ぬ,https://animetourism88.com/wp-content/uploads/2023/09/Web_KV_poster_b2_3_illust_tate.jpg
広島県呉市,34.1805,132.6574,艦隊これくしょん －艦これ－,https://animetourism88.com/wp-content/uploads/2023/09/Kancolle_logo-1.png
広島県竹原市,34.3623,132.8969,たまゆら,https://animetourism88.com/wp-content/uploads/2023/12/tamayura_main.jpg
広島県三次市,34.8049,132.8715,朝霧の巫女,https://animetourism88.com/wp-content/uploads/2023/09/Asagirinimiko_mainRGB.jpg
山口県宇部市,34.0429,131.2819,『エヴァンゲリオン』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/78_KV___.jpg
